riset,gender,usia.pasti,kat.pekerjaan,status,peng.kel,jum.kel,peng.prib,bahan.masak,air.minum,kepemilikan,edukasi,ses.final,skor.peng.prib,skor.bahan.masak,skor.air.minum,total.skor,skor.ses.nielsen,skor.ses,,,total.skor,
ar school 2018,Wanita,45,Housewife,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,37,Employee/wage earner,Menikah & sudah punya anak,7500000,4,1875000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Medium,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,43,Employer/self employed,Menikah & sudah punya anak,30000000,5,6000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,37,Housewife,Menikah & sudah punya anak,20000000,4,5000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,30,Employee/wage earner,Menikah & sudah punya anak,20000000,8,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,40,Employee/wage earner,Menikah & sudah punya anak,10000000,4,2500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,S1/S2/S3,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,42,Employee/wage earner,Menikah & sudah punya anak,6000000,4,1500000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,SMA,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,38,Housewife,Menikah & sudah punya anak,20000000,4,5000000,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Super upper,9,4,4,17,High,Super Upper [nielsen],,,,
ar school 2018,Wanita,39,Housewife,Menikah & sudah punya anak,10000000,7,1428571.429,"Elpiji 5,5 kg/12 kg/bluegaz",Ledeng meteran,Super high,S1/S2/S3,Upper 1,8,4,3,15,High,Upper 1 [nielsen],,,,
ar school 2018,Wanita,44,Housewife,Menikah & sudah punya anak,10000000,6,1666666.667,"Elpiji 5,5 kg/12 kg/bluegaz",Air kemasan bermerek,Super high,Diploma,Upper 1,8,4,4,16,High,Upper 1 [nielsen],,,,
