"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","episode"
"96","Naifa Tasya","https://yt3.ggpht.com/a/AGF-l7-9LZmtpJVE3fi5a_3tHA-fHgpgFxKMz2aSJQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCeYc_2667Im1h53I0EVC8Ng","UCeYc_2667Im1h53I0EVC8Ng","-pOkyNvWwsk","Kenapa gak 10 menitann aja :&#39;) 1 menit bener bener kek iklan doangg gak berasa","Kenapa gak 10 menitann aja :') 1 menit bener bener kek iklan doangg gak berasa","TRUE","none","0","2019-11-08T04:33:45.000Z","2019-11-08T04:33:45.000Z",2
"97","Ainah njenar","https://yt3.ggpht.com/a/AGF-l79dN2rvCqRUYv-5nfwsPDg7bTvoNgfidamVoA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC1F9Bq43eojaDEbtD_uS1PA","UC1F9Bq43eojaDEbtD_uS1PA","-pOkyNvWwsk","<a href=""http://ini.apaan.sh/"">ini.apaan.sh</a> ko sekilas ky iklan aj<U+0001F914>","ini.apaan.sh ko sekilas ky iklan aj<U+0001F914>","TRUE","none","0","2019-11-08T04:31:29.000Z","2019-11-08T04:31:29.000Z",2
"98","Prasetyo Wicaksono","https://yt3.ggpht.com/a/AGF-l7_9VcsFzYmCdjhxX8thFmL47-Pwq43UEYzDTg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC2uJ8Kt_KH2PN6shwaPgL4A","UC2uJ8Kt_KH2PN6shwaPgL4A","-pOkyNvWwsk","Sebentar banget ya ??","Sebentar banget ya ??","TRUE","none","0","2019-11-08T04:31:10.000Z","2019-11-08T04:31:10.000Z",2
"99","Naufal Islah","https://yt3.ggpht.com/a/AGF-l791p2HB8QHoOrgJh6iAU3exhfg-K44lU4pbIQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCT3b71ttnDLcv6l5pKYEjNQ","UCT3b71ttnDLcv6l5pKYEjNQ","-pOkyNvWwsk","Langsung nonton dong","Langsung nonton dong","TRUE","none","1","2019-11-08T04:30:53.000Z","2019-11-08T04:30:53.000Z",2
"100","Sunyi Coffee","https://yt3.ggpht.com/a/AGF-l79Wg6bFQWROoyDBRBEIgCTCFYqW_9SGUd140g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCkqV2x7C5G4-ekywNwwtS_Q","UCkqV2x7C5G4-ekywNwwtS_Q","xyxAjb3QfSc","Mini Series hasil kolaborasi dengan TropicanaSlim, dengan aktor asli tuli dan kerjasama komunitas seni fantasi tuli. Sunyi hadir sebagai tempat pertemuan 2 dunia yg sebelumnya tidak terbayang dapat bertemu. <br /><br />Sunyi ingin terus berkembang untuk dapat memperkenalkan dunia disabilitas sebagai dunia yg mengagumkan dan penuh kejutan. Oleh karena itu, setiap like pada video <a href=""http://www.youtube.com/results?search_query=%23CeritaSunyi"">#CeritaSunyi</a> di YouTube akan dikonversikan menjadi Rp 500 untuk pengembangan Sunyi House of Coffee and Hope dalam membantu memperluas kesempatan teman - teman disabilitas untuk berkreasi dan berekspresi melalui kopi.<br /><br />Ayo kita menjadi duta dunia yg menakjubkan ini dengan like dan share kepada rekan - rekan kalian semua karena setiap dukungan pasti sangat berarti<br /><br />@tropicanaslim <br /><a href=""http://www.youtube.com/results?search_query=%23CeritaSunyi"">#CeritaSunyi</a> <a href=""http://www.youtube.com/results?search_query=%23SahabatSunyi"">#SahabatSunyi</a>","Mini Series hasil kolaborasi dengan TropicanaSlim, dengan aktor asli tuli dan kerjasama komunitas seni fantasi tuli. Sunyi hadir sebagai tempat pertemuan 2 dunia yg sebelumnya tidak terbayang dapat bertemu. 

Sunyi ingin terus berkembang untuk dapat memperkenalkan dunia disabilitas sebagai dunia yg mengagumkan dan penuh kejutan. Oleh karena itu, setiap like pada video #CeritaSunyi di YouTube akan dikonversikan menjadi Rp 500 untuk pengembangan Sunyi House of Coffee and Hope dalam membantu memperluas kesempatan teman - teman disabilitas untuk berkreasi dan berekspresi melalui kopi.

Ayo kita menjadi duta dunia yg menakjubkan ini dengan like dan share kepada rekan - rekan kalian semua karena setiap dukungan pasti sangat berarti

@tropicanaslim 
#CeritaSunyi #SahabatSunyi","TRUE","none","29","2019-11-09T07:57:20.000Z","2019-11-09T07:57:20.000Z",3
"101","december D","https://yt3.ggpht.com/a/AGF-l781CsVm9f0dXitFEz_3gk17cKmF4SZkjnnWVA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiupdDVNgnu16BR747Ajskw","UCiupdDVNgnu16BR747Ajskw","xyxAjb3QfSc","&quot;ko kosong&quot;<br />&quot;astagfirullahaladzim kerja lembur bagai kuda..&quot; wkwkwk","""ko kosong""
""astagfirullahaladzim kerja lembur bagai kuda.."" wkwkwk","TRUE","none","0","2019-11-26T13:57:29.000Z","2019-11-26T13:57:29.000Z",3
"102","Adinda Prameswari","https://yt3.ggpht.com/a/AGF-l78QjONK6rqCBZZA5f58wUUajAHldwv4dbec1Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCtNhBN7nM362n41cK4ShNWw","UCtNhBN7nM362n41cK4ShNWw","xyxAjb3QfSc","Ada yang tau judul lagunya?","Ada yang tau judul lagunya?","TRUE","none","0","2019-11-24T12:26:24.000Z","2019-11-24T12:26:24.000Z",3
"103","Idham Maulana Irhami","https://yt3.ggpht.com/a/AGF-l7-0u_4P5bIVWbMQboxo8mG4uJzOCbZopns6BQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiTOEQ2HUjKFK4TuyVVmWPw","UCiTOEQ2HUjKFK4TuyVVmWPw","xyxAjb3QfSc","Ini kenapa gabisa diplay sih","Ini kenapa gabisa diplay sih","TRUE","none","0","2019-11-18T18:59:33.000Z","2019-11-18T18:59:33.000Z",3
"104","Afla Amira","https://yt3.ggpht.com/a/AGF-l7-FLghYlI7G2tD9KFuHMUHxC_TrRdSdQZKg0g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCvPj7l8r8dNDMpTU9f46hdg","UCvPj7l8r8dNDMpTU9f46hdg","xyxAjb3QfSc","Guru pendidikan luar biasa lg dibutuhin bnyk ayokk masuk PLB","Guru pendidikan luar biasa lg dibutuhin bnyk ayokk masuk PLB","TRUE","none","0","2019-11-17T16:29:01.000Z","2019-11-17T16:29:01.000Z",3
"105","Fira Yunanda","https://yt3.ggpht.com/a/AGF-l78iwj25HWdnLzZzJaS8JFU4hF1IagXDa17Mnw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCCtCU-DBKpnDjm7cJNEtjUw","UCCtCU-DBKpnDjm7cJNEtjUw","xyxAjb3QfSc","<U+2764><U+2764><U+2764><U+2764><U+2764>","<U+2764><U+2764><U+2764><U+2764><U+2764>","TRUE","none","0","2019-11-14T19:47:56.000Z","2019-11-14T19:47:56.000Z",3
"106","Vivi B","https://yt3.ggpht.com/a/AGF-l7_Dw-y0xwTSkWMGB1G6wIDwa1laWGPDJA6uvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCz32Iq7gCWZbRlNrk3oOLZQ","UCz32Iq7gCWZbRlNrk3oOLZQ","xyxAjb3QfSc","Durasinya bentar banget.<br />saran, untuk teksnya jangan warna putih kalo pas latarnya warna cerah, biar lebih mudah terbaca","Durasinya bentar banget.
saran, untuk teksnya jangan warna putih kalo pas latarnya warna cerah, biar lebih mudah terbaca","TRUE","none","1","2019-11-12T04:51:05.000Z","2019-11-12T04:51:05.000Z",3
"107","Naufal Fadhil","https://yt3.ggpht.com/a/AGF-l79KxpXKkA3l5UHGrPMIn5ylQlnKut9Y8VlAFw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCu_lx1X5ly6xE_AsWaUkGGg","UCu_lx1X5ly6xE_AsWaUkGGg","xyxAjb3QfSc","ini lagunyaaa apa woeeeeee","ini lagunyaaa apa woeeeeee","TRUE","none","0","2019-11-12T02:02:00.000Z","2019-11-12T02:02:00.000Z",3
"108","Annisa Rosmalia","https://yt3.ggpht.com/a/AGF-l7_u6nwrcIH4VuVmIthzjks1-os_7KFgcAWC5w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCfpZnvpskgV0m08z1CV0PMQ","UCfpZnvpskgV0m08z1CV0PMQ","xyxAjb3QfSc","Puisi dan lagu yang indah!","Puisi dan lagu yang indah!","TRUE","none","0","2019-11-11T15:27:01.000Z","2019-11-11T15:27:01.000Z",3
"109","Irene Gracesiana","https://yt3.ggpht.com/a/AGF-l79eJJ8zqQ9XJhgHsFnpkClrxh--gZ92MA49XA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC-KZJbd-isi0OnPR4ldao1g","UC-KZJbd-isi0OnPR4ldao1g","xyxAjb3QfSc","Kata-katanya bagus banget. Terharu, dan amazed at the same time!","Kata-katanya bagus banget. Terharu, dan amazed at the same time!","TRUE","none","0","2019-11-11T02:50:15.000Z","2019-11-11T02:50:15.000Z",3
"110","Bella Pardian N Allifiah","https://yt3.ggpht.com/a/AGF-l79t3t4IyRNWGAD8PAv8EyXzi4UTLAx9_StICg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQ8eraKDljEfDd6fz1IKiXg","UCQ8eraKDljEfDd6fz1IKiXg","xyxAjb3QfSc","Cuma 2 menit? Anda meragukan hotspot emak saya?","Cuma 2 menit? Anda meragukan hotspot emak saya?","TRUE","none","4","2019-11-10T23:52:22.000Z","2019-11-10T23:52:22.000Z",3
"111","Syahalam Racing","https://yt3.ggpht.com/a/AGF-l78U6D4wVVzRIu1CqAsEZwc72DevYkmJnYEjwQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCA7z0vcqq51O9xp0VI1s7BA","UCA7z0vcqq51O9xp0VI1s7BA","xyxAjb3QfSc","sayang banket sama teman teman Sunyi","sayang banket sama teman teman Sunyi","TRUE","none","0","2019-11-10T14:41:09.000Z","2019-11-10T14:41:09.000Z",3
"112","Irfan Parikesit","https://yt3.ggpht.com/a/AGF-l7-ZScpC4rsj27sFa625Vr5xVouf9ShoNdhUYA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCj5MdRLgrW_0DollKMLzCSg","UCj5MdRLgrW_0DollKMLzCSg","xyxAjb3QfSc","numpang baper gan","numpang baper gan","TRUE","none","0","2019-11-10T14:34:24.000Z","2019-11-10T14:34:24.000Z",3
"113","Marcella Soenggono","https://yt3.ggpht.com/a/AGF-l79AW5Bdxz92Vc8G9nn37RPg56gdCe-OCzwPYQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC1pH7RkAaUW1gU9a7r55MOw","UC1pH7RkAaUW1gU9a7r55MOw","xyxAjb3QfSc","Bagus sekali ceritanya... &quot;ketika sepi, kadang kita menemukan diri sendiri&quot;","Bagus sekali ceritanya... ""ketika sepi, kadang kita menemukan diri sendiri""","TRUE","none","1","2019-11-10T14:21:15.000Z","2019-11-10T14:21:15.000Z",3
"114","Rachael Abigail Saveria","https://yt3.ggpht.com/a/AGF-l7--L4vTjFTbrTfef1URDp_Cd5q5dRFlh3ZHjQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCqvowGswJEOXfFv3Bkt4XeA","UCqvowGswJEOXfFv3Bkt4XeA","xyxAjb3QfSc","Lagunya bagus bangeeeeet <U+0001F622><U+2665><U+FE0F>","Lagunya bagus bangeeeeet <U+0001F622><U+2665><U+FE0F>","TRUE","none","0","2019-11-10T14:19:37.000Z","2019-11-10T14:19:37.000Z",3
"115","Bernard Sibarani","https://yt3.ggpht.com/a/AGF-l793Ud_9dRi6okn5_NpbeBr5KGWB4AP1x9I_PQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUZRDeZ0uOsQsjHsk5T6E2Q","UCUZRDeZ0uOsQsjHsk5T6E2Q","xyxAjb3QfSc","Jleb","Jleb","TRUE","none","0","2019-11-10T14:06:52.000Z","2019-11-10T14:06:52.000Z",3
"116","Farell S","https://yt3.ggpht.com/a/AGF-l7-PtYsMizHSHJY6Do56G16HSzc7jyvjwQ6zPw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UClB9i5-MOrr4jWP_UKWikXQ","UClB9i5-MOrr4jWP_UKWikXQ","xyxAjb3QfSc","Monggo di like bantu bantu org gampang","Monggo di like bantu bantu org gampang","TRUE","none","0","2019-11-10T12:37:39.000Z","2019-11-10T12:37:39.000Z",3
"117","ilaaalll","https://yt3.ggpht.com/a/AGF-l7-T5nwZEdEQFGk34xr_12Smp1auC5MbP-j9-A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCJtTH--EaNAv3ScWv_BV6Cw","UCJtTH--EaNAv3ScWv_BV6Cw","xyxAjb3QfSc","&quot;ko kosong?&quot;<br />&quot;Aku bukan membaca buku, tapi aku mencoba melihat mimpi2 mu&quot; <br /><U+0001F62D><U+0001F62D><U+0001F62D>","""ko kosong?""
""Aku bukan membaca buku, tapi aku mencoba melihat mimpi2 mu"" 
<U+0001F62D><U+0001F62D><U+0001F62D>","TRUE","none","15","2019-11-10T08:03:50.000Z","2019-11-10T08:03:50.000Z",3
"118","Budiono Widayat","https://yt3.ggpht.com/a/AGF-l7830yRj7R5LoL1xlqfhGywbNE98Ll8ebXOQHA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCGZNLHrGTwCtKyTVXn5BHFQ","UCGZNLHrGTwCtKyTVXn5BHFQ","xyxAjb3QfSc","kerennn","kerennn","TRUE","none","0","2019-11-10T03:36:16.000Z","2019-11-10T03:36:16.000Z",3
"119","Pradana AJI","https://yt3.ggpht.com/a/AGF-l7--NjzJjJad8ZcdoNEL5YUFL56SYl2WDGy0bA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCBw1p6YieoVURlBDecsgDsw","UCBw1p6YieoVURlBDecsgDsw","xyxAjb3QfSc","Speechless. this is art, and both of you sunyi tropicana are amazing.","Speechless. this is art, and both of you sunyi tropicana are amazing.","TRUE","none","0","2019-11-09T16:37:18.000Z","2019-11-09T16:37:18.000Z",3
