"","No","Nama Perusahaan","Merek Dagang","Kantor Pusat","Opsi","link"
"52",52,"PT. Arrehlah Wisata","ARREHLAH","Jl. Gamelan No. 2 Rt. 034, Palaran, Samarinda, Kalimantan Timur, 75242",NA,"https://himpuh.or.id/daftar-anggota/detail/100/pt-arrehlah-wisata"
"53",53,"PT. Arston Pesona Indonesia","ARSTON TOUR & TRAVEL","Jl.rc. Veteran Raya No. 6, Pesanggrahan, Jakarta Selatan, DKI Jakarta, 12330",NA,"https://himpuh.or.id/daftar-anggota/detail/204/pt-arston-pesona-indonesia"
"54",54,"PT. Arwaniyyah Tour & Travel","ARWANIYYAH TOUR & TRAVEL","Jl. Sunan Kudus No. 237 A Janggalan, Kudus Kota, Kudus, Jawa Tengah, 59315",NA,"https://himpuh.or.id/daftar-anggota/detail/277/pt-arwaniyyah-tour-travel"
"55",55,"PT. As Syifa Prima Jannah","ASY SYIFA","Jl. RM. Hartsono No. 73, Pasar Minggu, Jakarta Selatan, DKI Jakarta, 12550",NA,"https://himpuh.or.id/daftar-anggota/detail/357/pt-as-syifa-prima-jannah"
"56",56,"PT. As-salam Mulya Al-haromain","PT. AS-SALAM MULYA AL-HAROMAIN","Jl. Ciputat Raya No. 4a, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12240",NA,"https://himpuh.or.id/daftar-anggota/detail/101/pt-as-salam-mulya-al-haromain"
"57",57,"PT. As-shodiqiyyah Haji & Umrah","AS-SHODIQIYYAH","Jl. Sawah Besar Timur No. 99, Ambarawa, Semarang, Jawa Tengah, 50163",NA,"https://himpuh.or.id/daftar-anggota/detail/278/pt-as-shodiqiyyah-haji-umrah"
"58",58,"PT. As-syirbani Mandiri Wisata (samawa Tour)","SAMAWA TOUR","Jl. Asem Baris Raya No. 8c, Tebet, Jakarta Selatan, DKI Jakarta, 12830",NA,"https://himpuh.or.id/daftar-anggota/detail/150/pt-as-syirbani-mandiri-wisata-samawa-tour"
"59",59,"PT. Asankaloka Riapindo","ASANKALOKA RIAPINDO","Jl. Raya Veteran No. 3d, Arjawinangun, Cirebon, Jawa Barat, 45123",NA,"https://himpuh.or.id/daftar-anggota/detail/271/pt-asankaloka-riapindo"
"60",60,"PT. Asia Utama Wisata","ASIATOUR","Jl. Ciputat Raya No. 4B, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12240",NA,"https://himpuh.or.id/daftar-anggota/detail/22/pt-asia-utama-wisata"
"61",61,"PT. Assami Ananda Tours","ANANDA TOUR","Jl. Raya Condet No. 2c Rt.005/003, Kramat Jati, Jakarta Timur, DKI Jakarta, 13530",NA,"https://himpuh.or.id/daftar-anggota/detail/263/pt-assami-ananda-tours"
"62",62,"PT. Asyla Fatimah Wisata","ASYLA TOUR AND TRAVEL","Jl. Gatot Subroto No. 42, Pasar Jambi, Jambi, Jambi, 36123",NA,"https://himpuh.or.id/daftar-anggota/detail/324/pt-asyla-fatimah-wisata"
"63",63,"PT. Attaqwa Garuda Insani","ATTAQWA TOUR","Wijaya Grand Centre Blok E/5, Jl. Wijaya Ii, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12160",NA,"https://himpuh.or.id/daftar-anggota/detail/102/pt-attaqwa-garuda-insani"
"64",64,"PT. Attin Tur","Attin Tur","Jl. Raya Hankam No.36 Rt. 007 Rw. 013, Pondok Melati, Bekasi, Jawa Barat, 17141",NA,"https://himpuh.or.id/daftar-anggota/detail/358/pt-attin-tur"
"65",65,"PT. Avianca Muliatama","AMANAH MULIA UMRAH & HAJJ SERVICE","Jl. Jend. Basuki Rahmat No. 25, Jatinegara, Jakarta Timur, DKI Jakarta, 13410",NA,"https://himpuh.or.id/daftar-anggota/detail/103/pt-avianca-muliatama"
"66",66,"PT. Awana Tours & Travel","AWANA TRAVEL","Jl. Pelita No. 2-g, Kebayoran Lama, Jakarta Selatan, DKI Jakarta, 12240",NA,"https://himpuh.or.id/daftar-anggota/detail/104/pt-awana-tours-travel"
"67",67,"PT. Bahtera Nurani Pratama (Nurani Tour & Travel)","NURANI TOUR & TRAVEL","Jl. Depati Hamzah Rt.009/002, Bukit Intan, Pangkal Pinang, Bangka Belitung, 33147",NA,"https://himpuh.or.id/daftar-anggota/detail/105/pt-bahtera-nurani-pratama-nurani-tour-travel"
"68",68,"PT. Balda Citra Mandiri","BALDA HAJI & UMRAH","Jl. Wijaya I No. 8, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12170",NA,"https://himpuh.or.id/daftar-anggota/detail/25/pt-balda-citra-mandiri"
"69",69,"PT. Bangun Ummat Sejahtera","BUS TOUR & TRAVEL","Jl. Untung Suropati No. 16 Lasem Rembang Jawa Tengah, Rembang, Rembang, Jawa Tengah",NA,"https://himpuh.or.id/daftar-anggota/detail/356/pt-bangun-ummat-sejahtera"
"70",70,"PT. Baraya Kharisma Jaya","BARAYA TOUR","Jl. Rereng Adumanis No. 6-b, Arjasari, Bandung, Jawa Barat, 40123",NA,"https://himpuh.or.id/daftar-anggota/detail/151/pt-baraya-kharisma-jaya"
"71",71,"PT. Basmah Aryo Wisata (basmah Tour)","BASMAH TOUR","Graha Mas Fatmawati Blok A 31, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, 12150",NA,"https://himpuh.or.id/daftar-anggota/detail/152/pt-basmah-aryo-wisata-basmah-tour"
"72",72,"PT. Batemuri Tour & Travel","Batemuri Tours","Gedung Menara Hijau Lt. 3 Ruang 304, Jl. Mt. Haryono Kav.3, Pancoran, Jakarta Selatan, DKI Jakarta, 12770",NA,"https://himpuh.or.id/daftar-anggota/detail/212/pt-batemuri-tour-travel"
